user,gesture,sequence,x,y,z,time
1,0,1,0.6232193863625782,0.6390053958372685,-0.5761364742873568,6.0
1,0,1,0.6194154755295664,0.6473613999374213,-0.5739309849448758,37.0
1,0,1,0.615745035252099,0.6480505549147536,-0.5719195786645329,67.0
1,0,1,0.6092272231230204,0.655674331851491,-0.5699434602136698,101.0
1,0,1,0.6060461748825486,0.6504625973354163,-0.5681967126544244,132.0
1,0,1,0.5879831596988906,0.6553728265489082,-0.5664323211804396,180.0
1,0,1,0.5718332224780338,0.6701465863754672,-0.5647561492801537,214.0
1,0,1,0.5452058466469517,0.6811730660127824,-0.5629388260619489,244.0
1,0,1,0.5176441769270598,0.6839296859221112,-0.5607686245489476,277.0
1,0,1,0.47141887452356046,0.7004909414711256,-0.5581396812527099,308.0
1,0,1,0.4352038637858816,0.704496654776869,-0.5553342988090745,340.0
1,0,1,0.388466924252796,0.7139940718082283,-0.5522466137296002,374.0
1,0,1,0.3468241109229834,0.7371238357349402,-0.5493000799680458,403.0
1,0,1,0.31127645296302586,0.7580784542644473,-0.5463182583770106,435.0
1,0,1,0.2655850327817037,0.7659391282246427,-0.5433717246154562,468.0
1,0,1,0.2177803288042639,0.7788607840496214,-0.5402663956212426,499.0
1,0,1,0.1667723314937616,0.7939791213648465,-0.5368611200764516,533.0
1,0,1,0.11414044242413736,0.7963480915994259,-0.5330676784073836,579.0
1,0,1,0.059395269558395525,0.7991693197878796,-0.5282156018539255,612.0
1,0,1,-0.012812300991055169,0.8178195763619324,-0.523487032703646,644.0
1,0,1,-0.07091648283799452,0.8282430453940818,-0.51829972177013,678.0
1,0,1,-0.13538276116587752,0.8323995113511166,-0.5119302685490442,707.0
1,0,1,-0.2060999105117505,0.8323995113511166,-0.5044845365288282,740.0
1,0,1,-0.2924331148563032,0.8327010166536994,-0.49783278067190456,772.0
1,0,1,-0.3803234756822057,0.838795730984481,-0.49082814652018464,803.0
1,0,1,-0.45646842762021245,0.8247541983213375,-0.4828883848872523,835.0
1,0,1,-0.5395316033539305,0.7987170618340054,-0.475195638060678,867.0
1,0,1,-0.6289123853834107,0.7705478521355518,-0.46843801871531526,902.0
1,0,1,-0.7132435313947993,0.7407418993659342,-0.4626331707659043,932.0
1,0,1,-0.8034696269427267,0.7258173868880838,-0.45756936723556785,980.0
1,0,1,-0.8841970679544199,0.6901966889972259,-0.45197624626303534,1012.0
1,0,1,-0.9426794163754015,0.6145834663280587,-0.4475652675780734,1043.0
1,0,1,-1.0153096436840756,0.5727819097342525,-0.44386004548270525,1076.0
1,0,1,-1.0780185596972924,0.5084320637258586,-0.44093115563589025,1109.0
1,0,1,-1.1213297549714083,0.4419070723202599,-0.43858451497548934,1139.0
1,0,1,-1.1717816249671429,0.3814121869663178,-0.43673190392780575,1171.0
1,0,1,-1.2239908572775435,0.32582753082586774,-0.43528510291913763,1207.0
1,0,1,-1.2628530340335171,0.2795249307863607,-0.43412060454630735,1236.0
1,0,1,-1.2933510559753831,0.2130645476598869,-0.4332913405535351,1268.0
1,0,1,-1.3194667946768788,0.15343110602761012,-0.4326385157081605,1301.0
1,0,1,-1.3414004559713206,0.07243386009803524,-0.432232705669144,1331.0
1,0,1,-1.3579952950439917,0.010302231672929254,-0.4320915543512251,1379.0
1,0,1,-1.3702745861540646,-0.05017111758797111,-0.43210919826596544,1411.0
1,0,1,-1.3810412109679693,-0.11165666322182814,-0.43253265221972126,1444.0
1,0,1,-1.3811079462457414,-0.2034650278583019,-0.4340500288873489,1478.0
1,0,1,-1.383621641708492,-0.2647567486547842,-0.4363437378035287,1508.0
1,0,1,-1.3776154667089997,-0.3192215279570695,-0.44091351172114984,1540.0
1,0,1,-1.3707194880058788,-0.39606230792960956,-0.4484121754855861,1571.0
1,0,1,-1.3495421598595212,-0.47331227366994066,-0.4566518836690957,1603.0
1,0,1,-1.3249168423616031,-0.5301890953928886,-0.4683497991416164,1636.0
1,0,1,-1.3034058378263849,-0.6111648052294218,-0.48167095477020194,1667.0
1,0,1,-1.2747319134769572,-0.7002165499565668,-0.49712702408231085,1699.0
1,0,1,-1.2407414119983495,-0.796202916643117,-0.5154061197527947,1748.0
1,0,1,-1.2100876744083486,-0.8743573982911965,-0.5367199687585327,1780.0
1,0,1,-1.1816584460774189,-0.9434882569548326,-0.5600452240446135,1812.0
1,0,1,-1.1603698924681076,-1.000278934305614,-0.5876579506124788,1844.0
1,0,1,-1.1147007173793761,-1.0647364607792162,-0.6321911914158584,1878.0
1,0,1,-1.057975731273061,-1.1448507268940842,-0.6809413278420631,1908.0
1,0,1,-1.0146867810915357,-1.203838085735112,-0.739095670824607,1939.0
1,0,1,-0.9655696166512441,-1.2731412331430811,-0.7916921806640986,1971.0
1,0,1,-0.9102460713781436,-1.3143613152247633,-0.8343904543345346,2004.0
1,0,1,-0.8597719562898182,-1.3582088006575244,-0.869043102883599,2035.0
1,0,1,-0.7923693257399615,-1.4240877092718744,-0.8974674495294966,2068.0
1,0,1,-0.7271912044491757,-1.4773464673638281,-0.9227688232664407,2101.0
1,0,1,-0.6552728201034043,-1.490677308956598,-0.9468351229715956,2147.0
1,0,1,-0.5913404239976984,-1.4978272918464195,-0.9687135772490088,2180.0
1,0,1,-0.5099011400231023,-1.5322635046199875,-0.989198162261974,2212.0
1,0,1,-0.43426782521468194,-1.5459173876083818,-1.0092240054917037,2244.0
1,0,1,-0.3465331800369144,-1.5505476476123325,-1.0284205847286596,2275.0
1,0,1,-0.27663909911689777,-1.5466065425857138,-1.04714077826764,2307.0
1,0,1,-0.1730659480145434,-1.5206555504705483,-1.0668843188615318,2341.0
1,0,1,-0.08459721478128233,-1.5317897105730718,-1.083981272244446,2371.0
1,0,1,0.02088901428387327,-1.5233260260077106,-1.1001960298903677,2403.0
1,0,1,0.1062434345544347,-1.5231537372633777,-1.1145934643180848,2439.0
1,0,1,0.193533177880388,-1.5176189613516784,-1.1275793855666143,2471.0
1,0,1,0.298374299260413,-1.5211724167035476,-1.1388538470853782,2500.0
1,0,1,0.3870209932343997,-1.5211724167035476,-1.1487697271691737,2548.0
1,0,1,0.46854925757935867,-1.5253073465675409,-1.1572035184148213,2580.0
1,0,1,0.5571959515533454,-1.493584681517218,-1.1649491969856152,2612.0
1,0,1,0.6489569584900318,-1.4638218009336839,-1.1716185967572788,2645.0
1,0,1,0.7269482531130677,-1.4312376921616958,-1.1778468986604453,2676.0
1,0,1,0.8046726066250147,-1.4187252221045081,-1.1832106487413596,2708.0
1,0,1,0.8781703925447267,-1.3848920199361057,-1.18786864223268,2740.0
1,0,1,0.9404121616135386,-1.3523940555362841,-1.1918914547933654,2772.0
1,0,1,1.0016973917009497,-1.282035639569275,-1.195614320803474,2804.0
1,0,1,1.06545182706593,-1.2536079967543217,-1.1988608011156061,2836.0
1,0,1,1.1121887665990156,-1.1867599639530986,-1.2016661835592426,2868.0
1,0,1,1.1610389899282187,-1.1408450135883408,-1.2039951803049025,2900.0
1,0,1,1.2048395772393303,-1.0546144970496496,-1.2059007230968064,2948.0
1,0,1,1.2469272924209571,-0.9761369740059456,-1.207453387593913,2980.0
1,0,1,1.2780259318627725,-0.9071568679936008,-1.2086708177109624,3012.0
1,0,1,1.3063216896381578,-0.7914219039878748,-1.2095883012774347,3044.0
1,0,1,1.3253857339883979,-0.7108123077330494,-1.209941179572232,3076.0
1,0,1,1.3482981793568312,-0.5964125814959046,-1.2097647404248333,3109.0
1,0,1,1.3652266948183627,-0.5140585617047069,-1.207912129377149,3141.0
1,0,1,1.3788184463912878,-0.4826804741430502,-1.201789690962421,3172.0
1,0,1,1.3846466606500543,-0.31836008423540424,-1.191150410374292,3204.0
1,0,1,1.3849580919463242,-0.20264665632271991,-1.174159320479817,3236.0
1,0,1,1.383734611853835,-0.09836889381514169,-1.1515927535275494,3268.0
1,0,1,1.37201144805853,0.009742293253846844,-1.1274029464192155,3300.0
1,0,1,1.3490545125049154,0.043360134491833124,-1.0996490685334324,3348.0
1,0,1,1.327387792321562,0.10275667910065193,-1.071348229290714,3380.0
1,0,1,1.3083237479713217,0.23640967251701506,-1.0441766005913453,3412.0
1,0,1,1.2893041938062633,0.2884624093986376,-1.017693084566831,3443.0
1,0,1,1.2603633283457472,0.34658832451800015,-0.9899568505957879,3476.0
1,0,1,1.226239356311595,0.41972489648737965,-0.9641261594166483,3508.0
1,0,1,1.1925157959440762,0.5064938153521118,-0.9375014920742151,3539.0
1,0,1,1.1482703067811502,0.559731037351024,-0.9120236791898724,3571.0
1,0,1,1.1199967940983555,0.6272036168504546,-0.884305089133569,3603.0
1,0,1,1.083114430582955,0.6484166684964612,-0.85365760923045,3636.0
1,0,1,1.036421981235051,0.6924364426735555,-0.8293266508041977,3667.0
1,0,1,0.9962473440162253,0.7042382216603694,-0.8036547548577163,3715.0
1,0,1,0.9480867185573342,0.7493348004895451,-0.7818645201540024,3747.0
1,0,1,0.9057765524498002,0.7702248107399273,-0.7617328134358341,3780.0
1,0,1,0.8580830739353139,0.8089251699357386,-0.7428361807494555,3810.0
1,0,1,0.822246229771677,0.8053501784908278,-0.720975370386782,3843.0
1,0,1,0.7736629475535625,0.828049220556707,-0.7026256990573377,3875.0
1,0,1,0.7265700865390254,0.8248188066004625,-0.6862168583492779,3907.0
1,0,1,0.6839039989500402,0.8180995455714735,-0.6703373350834132,3939.0
1,0,1,0.6538953690451699,0.8083436954236145,-0.6554105832135012,3971.0
1,0,1,0.6282022871028977,0.8213730317138014,-0.6447536587106312,4003.0
1,0,1,0.607180674604675,0.8132108524510231,-0.6367080335892605,4035.0
1,0,1,0.5896737867357846,0.8085590563540309,-0.6303209364534346,4067.0
1,0,1,0.5789516521070617,0.8052424980256196,-0.6254159281557563,4115.0
1,0,1,0.5748363099777799,0.7896072944773953,-0.6213931155950706,4147.0
1,0,1,0.5700981052559583,0.7822634867501991,-0.6182172109418984,4179.0
1,0,1,0.5637360087750146,0.7795068668408703,-0.6157823507077986,4211.0
1,0,2,1.459790583421479,-0.5642807306777908,-0.6852464430385867,7.0
1,0,2,1.464039396106305,-0.5634408230491672,-0.6851582234648869,36.0
